floy_id,species,mussel_id,X4.28.2017,X4.29.2017,X4.30.2017,X8.1.2017,X8.2.2017,X8.3.2017,X11.10.2017,X11.11.2017,X11.12.2017,X4.20.2018,X4.21.2018,X4.22.2018,X8.10.2018,X8.11.2018,X8.12.2018
W149,QUPE,W149-QUPE,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
W149W156W160,AMPL,W149W156W160-AMPL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
W153W155,AMPL,W153W155-AMPL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
W157W158,AMPL,W157W158-AMPL,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
W159,QUPE,W159-QUPE,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
W162W163,AMPL,W162W163-AMPL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
W165,AMPL,W165-AMPL,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
W167W169,AMPL,W167W169-AMPL,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
W169,QUHO,W169-QUHO,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
W170W173,AMPL,W170W173-AMPL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
W171,QUPE,W171-QUPE,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
W171W172,AMPL,W171W172-AMPL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
W172,QUPE,W172-QUPE,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
W173,QUPE,W173-QUPE,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
W174,QUPE,W174-QUPE,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
W174W178,AMPL,W174W178-AMPL,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
W175,QUPE,W175-QUPE,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
W175W176,AMPL,W175W176-AMPL,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
W177,QUPE,W177-QUPE,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
W177W179,AMPL,W177W179-AMPL,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
W178,QUPE,W178-QUPE,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
W179,QUHO,W179-QUHO,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
W180W182,AMPL,W180W182-AMPL,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
W181W185,AMPL,W181W185-AMPL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
W184W186,AMPL,W184W186-AMPL,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
W187W188,AMPL,W187W188-AMPL,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
W189,QUHO,W189-QUHO,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
W189W191,AMPL,W189W191-AMPL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
W193W194,AMPL,W193W194-AMPL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
W195W198,AMPL,W195W198-AMPL,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
W196W197,AMPL,W196W197-AMPL,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
W199W201,AMPL,W199W201-AMPL,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
W200,QUPE,W200-QUPE,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
W200W648,AMPL,W200W648-AMPL,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
W201,QUHO,W201-QUHO,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
W202,QUHO,W202-QUHO,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
W203,QUHO,W203-QUHO,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
W203W204,AMPL,W203W204-AMPL,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
W204,QUHO,W204-QUHO,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
W205,QUHO,W205-QUHO,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
W205W206,AMPL,W205W206-AMPL,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
W206,QUPE,W206-QUPE,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
W207,QUHO,W207-QUHO,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
W207W209,AMPL,W207W209-AMPL,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
W208W211,AMPL,W208W211-AMPL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
W210,QUHO,W210-QUHO,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
W210W212,AMPL,W210W212-AMPL,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
W211,QUHO,W211-QUHO,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
W212,QUHO,W212-QUHO,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
W213,QUHO,W213-QUHO,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
W213W646,AMPL,W213W646-AMPL,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
W214,QUHO,W214-QUHO,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
W214W216,AMPL,W214W216-AMPL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
W215,QUHO,W215-QUHO,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
W215W218,AMPL,W215W218-AMPL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
W216,QUHO,W216-QUHO,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
W217,QUHO,W217-QUHO,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
