floy_id,pit_id,species
Y031/032,,AMPL
Y033,3DD.003C0032AA,QUHO
Y033/025,3DD.003C07F85C,QUHO
Y034,3DD.003C00328A,QUHO
Y034/026,3DD.003D2D2DF5,QUHO
Y035,3DD.003C0032A2,QUHO
Y036,3DD.003C00326C,QUHO
Y037,3DD.003C003295,QUHO
Y038,3DD.003C003287,QUHO
Y039,3DD.003C003280,QUHO
Y040,3DD.003C003282,QUHO
Y040/041,,AMPL
Y041,3DD.003C003284,QUHO
Y042,3DD.003C003281,QUHO
Y042/012,3DD.003C07F8D7,QUPE
Y043,3DD.003C00328B,QUHO
Y043,3D6.00188BD5F1,QUHO
Y044,3DD.003C00327C,QUHO
Y045,3DD.003C003271,QUHO
Y045Y000/001,3DD.003C003271,QUHO
Y046,3DD.003C0032BD,QUHO
Y047,3DD.003C003273,QUHO
Y048,3DD.003C0032C7,QUHO
Y049,3DD.003C00329D,QUHO
Y050,3DD.003C0032B9,QUHO
Y051,3DD.003C0032A3,QUPE
Y051,3D6.00188BD60A,QUPE
Y052,3DD.003C00328D,QUHO
Y053,3DD.003C00329B,QUPE
Y054,3DD.003C0032BA,QUPE
Y054,3DD.003C00D67E,QUPE
Y055,3DD.003C0032B4,QUHO
Y056,3DD.003C0032B1,QUPE
Y057,3DD.003C0032C9,QUPE
Y058,3DD.003C00326E,QUPE
Y059,3DD.003C0032B0,QUHO
Y060,3DD.003C0032A7,QUPE
Y061,3DD.003C003290,QUPE
Y061,3DD.003C00D6BC,QUPE
Y062,3DD.003C0032AE,QUPE
Y063,3DD.003C00327B,QUPE
Y064,3DD.003C0032C3,QUPE
Y065,3DD.003C0032C8,QUPE
Y066,3DD.003C0032C4,QUPE
Y066,3D6.00188BD63B,QUPE
Y067,3DD.003C0032A5,QUPE
Y068,3D6.001879B7D5,QUPE
Y069,3DD.003C003294,QUPE
Y070,3DD.003C00326F,QUPE
Y071,3DD.003C0032C2,QUPE
Y072,3DD.003C00329C,QUHO
Y073,3DD.003C003278,QUPE
Y074,3D6.001879B812,TRMA
Y075,3D6.001879B7ED,TRMA
Y085,3D6.00188BD615,QUHO
Y100/110,3DD.003D2D2DEB,QUHO
Y101/102,3DD.003D2D2DE2,QUHO
Y168/188,3DD.003D2D2DBC,QUHO
Y189/197,3DD.003D2D2DF8,QUHO
Y198,3D6.001879B7D1,TRMA
Y198/199,3DD.003D2D2DED,QUHO
Y295,3D6.001879B7CC,TRMA
Y296,3D6.001879B7F9,TRMA
Y297,3D6.001879B7F8,TRMA
Y299,3DD.003C0032C6,QUHO
Y300,3DD.003C00329A,QUHO
Y301,3DD.003C0032CC,QUHO
Y302,3DD.003C003296,QUHO
Y303,3DD.003C0032C0,QUHO
Y304,3DD.003C00329E,QUHO
Y305,3DD.003C0032A6,QUHO
Y306,3DD.003C00327D,QUHO
Y307,3DD.003C00329F,QUHO
Y307,3D6.1D59306432,QUHO
Y308,3DD.003C0032BB,QUHO
Y309,3DD.003C003292,QUHO
Y310,3DD.003C0032BC,QUHO
Y311,3DD.003C00326D,QUHO
Y312,3DD.003C0032C5,QUHO
Y313,3DD.003C0032B6,QUHO
Y314,3DD.003C003285,QUHO
Y315,3DD.003C003286,QUHO
Y316,3DD.003C00327A,QUHO
Y317,3DD.003C00326A,QUHO
Y318,3DD.003C003293,QUHO
Y318,3D6.00188BD5FF,QUHO
Y319,3DD.003C003288,QUHO
Y320,3DD.003C003275,QUHO
Y321,3DD.003C003279,QUHO
Y321,3D6.1D593063DF,QUHO
Y322,3D6.001879B7EC,QUPE
Y322,3D6.1D59306419,QUPE
Y323,3DD.003C003289,QUHO
Y323,3D6.1D593063EF,QUHO
Y324,3D6.001879B7DD,QUHO
Y325,3D6.001879B7DF,QUHO
Y326,3D6.001879B82B,QUHO
Y327,3D6.001879B7E3,QUHO
Y328,3D6.001879B810,QUHO
Y329,3D6.001879B7CD,QUHO
Y330,3D6.001879B7E4,QUHO
Y331,3D6.001879B813,QUHO
Y332,3D6.001879B809,QUPE
Y332,3DD.003C0230EF,QUPE
Y333,3D6.001879B7E1,QUHO
